Translation Key,Translated Value,Category
ammo-vog-25,VOG-25 grenade,ammo
st_letter_to_outside_name,Letter to Natalie,disassemble
st_data_export_is_junk,Is junk,artefacts
st_bolt_carrier_6,Sliding Bolt Carrier with Locking Bolt (Carrier),item_drop_locations
st_data_export_ammo_types_alt,Alt. ammo,weapons
military_bandit_outfit_name,Looted Skat-9 Armored Suit,outfit_exchange
ammo-7.92x33_ap,7.92x57 mm AP rounds,item_drop_locations
gamma_fire_wound_cap,Ballistic Cap,artefacts
l13_generators,Generators,item_drop_locations
st_af_fonar_name,Lamp,artefact_recipes
st_gamma_recipe_expert_1,Survival Guide Vol. 3,disassemble
st_af_dragon_eye_name,Dragon's Eye,artefacts
st_data_export_post_heal_torso,Post-Heal Torso,medicine
st_wpn_glock17,Glock 17,weapons
mutant_psysucker_meat,Psysucker Meat,mutant_parts
st_af_frames_name,Aluminium Frames,disassemble
cs_stalker_outfit_name,CS-2b Body Armor,outfit_exchange
st_wpn_brn180,BRN-180,weapon_drops
st_data_export_can_be_crafted,Can be crafted,artefacts
merc_coyote_outfit_name,Mercenary MTS-C Body Suit,outfit_exchange
st_af_cristall_flower_name,Stone Flower,artefact_recipes
ui_inv_outfit_additional_weight,%c[0,255,255,255]Weight Carried:,belt_attachments
st_powder_pistol,Pistol/Shotgun Propellant,disassemble
st_af_ah_r3_descr,An artifact containing mostly plant matter found only in the Dead Forest, south of Lab X-9. It is believed that the strong psy-fields it was subjugated to during its formation heavily influenced its shape and properties. Wearing one seems to boost vitality.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Artefact\n,artefacts
st_ration_ru,Russian IRP-B Combat Ration,eatable
st_prt_w_p_trigger_1,Single-action Trigger Mechanism (Trigger),item_drop_locations
st_af_ah_s1_descr,An experimental and unstable artifact, created by artificial means. Where and under what circumstances it formed, is unknown. It seems to improve the natural healing process of the body via methods unknown to science.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Artefact\n,artefacts
st_wpn_pl15_pl15_scolaz,Lebedev PL-15 "Bearcat",weapons
mutant_heart_chimera,Chimera Heart,mutant_parts
st_wpn_fnx45_custom,FNX-45,weapon_drops
st_drug_booster,Hercules,disassemble
merc_sun_outfit_name,"Twilight" Tactical Suit,outfit_exchange
st_grease,Industrial Grease,disassemble
st_ball_hammer,Ball-peen Hammer,disassemble
st_af_frames_up_name,Improved Aluminium Frames,disassemble
st_gas_tube_3,Gas Tube [V] (Gas Tube),item_drop_locations
st_wpn_ak105,AK-105,weapon_drops
st_knife_swat,Spetsnaz Switchblade,melee
st_af_electra_flash_name,Flash,artefact_recipes
st_glue_a,Glue Tube "Tur",disassemble
st_army_bowler,Army Kettle,disassemble
st_data_export_post_heal_arm,Post-Heal Arm,medicine
st_wpn_mossberg590a1,Mossberg 590A1,weapon_drops
st_prt_w_p_barrel_6,9x18mm Barrel (enclosed) (Barrel),item_drop_locations
trenchcoat_outfit_name,Overcoat,outfit_exchange
ammo-5.56x45-fmj,5.56x45 mm FMJ rounds,item_drop_locations
st_itm_mapkit_8,Anomaly Map (Garbage),disassemble
st_prt_o_ballistic_4,Kevlar K129 Plates w/ Carbon-fiber Composite,item_drop_locations
l03_agroprom,Agroprom,item_drop_locations
st_prt_i_fasteners,Fasteners,disassemble
st_headlamp,Broken Head Lamp,disassemble
st_prt_i_plastic,Plastic Film,disassemble
st_wpn_sks_b,SKS,weapon_drops
l02_garbage,Garbage,item_drop_locations
st_prt_w_p_spring_1,9mm Recoil Spring Assembly [Soviet] (Spring),item_drop_locations
light_freedom_outfit_name,Defender of Freedom,item_drop_locations
st_antirad_cystamine,Cystamine,medicine
st_wpn_thompson_1921,Thompson Model 1921,weapon_drops
st_tarpaulin,Tarpaulin,disassemble
st_af_plates_up_name,Improved Carbon Steel Plates,disassemble
st_af_ah_o1,Magnet,artefacts
st_af_ah_g2,Easy,artefacts
st_wpn_bizon,PP-19 Bizon,weapon_drops
st_wpn_k98_mod,Mauser 98k Forester mk.1,weapon_drops
mutant_fang_psevdodog,Pseudodog Fang,mutant_parts
st_data_export_stash_type,Stash Type,item_drop_locations
military_exolight_outfit_name,Military Stalker Exosuit,outfit_exchange
st_wpn_sig550,SIG SG 550,weapon_drops
jupiter_underground,Jupiter Underground,item_drop_locations
st_prt_o_retardant_1,Layered Fire Retardant Fabrics,disassemble
ammo-12x76-bull,12x76 Bull shells,ammo
st_wpn_glock,Glock 19,weapon_drops
monolith_outfit_name,Monolith X-18 Suit,outfit_exchange
st_hide_pseudodog_name,Pseudodog Fur,mutant_parts
#3,#3,session
BR,BR,session
mutant_krovosos_jaw,Bloodsucker Jaw,mutant_parts
st_wpn_sr25,SR-25,weapon_drops
st_kukri,Kukri,melee
mutant_pseudogigant_eye,Pseudogiant Eye,mutant_parts
ui_inv_outfit_wound_protection,%c[0,255,255,255]Rupture Res:,belt_attachments
st_prt_o_retardant_3,Grade-B RPVC Treated Fabrics,item_drop_locations
st_af_cell_name,Cell,artefacts
stalker_proto_exo_outfit_name,"Sunrise" Exoskeleton,item_drop_locations
st_af_fuzz_kolobok_name,Kolobok,artefact_recipes
ui_inv_damage,%c[0,255,255,255]Damage:,ammo
st_sledge_hammer,Sledgehammer,melee
st_barrel_11,9mm Barrel [AS/PP] (Barrel),item_drop_locations
st_af_peas_name,Moon,artefacts
st_hide_chimera_name,Chimera Hide,mutant_parts
st_wpn_hk416,HK416,weapons
st_rank_ssu,SSU,weapon_drops
