~, Name, Weight, Cost, Tier, Sleepiness, Thirst, Alcohol, Health change, Limb duration, First-Aid head, First-Aid torso, First-Aid arm, First-Aid leg, Post-Heal Head, Post-Heal Torso, Post-Heal Arm, Post-Heal Leg, Ballistic Res, Rupture Res, Burn Res, Electrical Res, Chemical Res, Radiation Res, Psychic Res, Impact Res, Explosive Res, Satiety, Uses, Duration, Health restoration, Total health restoration, Wound healing, Total wound healing, Radiation restoration, Total radiation restoration, Stamina Recovery, Total stamina recovery, Radiation Res, Chemical Res, Psychic Res, Weight Carried, Used in crafting, Can be crafted
stimpack_scientic,Scientific Stimpack,0.1,6000,5,1%,1%,0%,0%,60,6,9,4,4,4,4,1,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,15,10%,150%,0,0,69,1035,0%,0%,0%,0%,0%,0,N,Y
adrenalin,Epinephrine Shot,0.052,6520,5,-23%,3%,-100%,-1.2%,60,10,10,5,5,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,31%,1,2184,0%,0%,0,0,0,0,6.29%,13737%,0%,0%,0%,22.294,N,Y
antibio_sulfad,Sulfadimethoxine,0.04,933,3,0%,0%,3%,-1.55%,0,0,0,0,0,0,0,0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,899,0%,0%,0,0,0,0,0%,0%,7%,3%,0%,0,Y,N
drug_radioprotector,Radioprotectant,0.009,1250,4,1%,1%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-4%,2,500,0%,0%,0,0,0,0,0%,0%,14%,0%,0%,0,Y,Y
antibio_chlor,Chlortetracycline,0.04,521,2,0%,0%,3%,0%,0,0,0,0,0,0,0,1,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,899,0%,0%,0,0,0,0,0%,0%,4%,11%,0%,0,Y,N
antiemetic,Etperazine,0.04,678,4,0%,0%,-4%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,143,0%,0%,0,0,0,0,0%,0%,0%,0%,10%,0,Y,N
drug_antidot,Antidote,0.01,3360,4,1%,3%,0%,0%,0,0,0,0,0,3,3,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,296,0%,0%,0,0,0,0,0%,0%,0%,4%,0%,0,Y,Y
joint,Cannabis Joint,0.001,380,2,2%,2%,-4%,-0.4%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-8%,1,420,0%,0%,0,0,0,0,0%,0%,0%,0%,4%,0,Y,Y
drug_coagulant,Vinca,0.011,3350,4,0%,3%,0%,0%,0,0,0,0,0,0,4,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-17%,5,438,0%,0%,0.063,27.594,0,0,0%,0%,0%,0%,0%,0,Y,N
cocaine,Cocaine,0.011,3500,5,-16%,3%,-53%,-5.7%,60,3,3,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,1,1644,0%,0%,0,0,0,0,4.42%,7266%,0%,0%,0%,12.645,Y,Y
drug_booster,Hercules,0.18,1750,3,-1%,0%,-44%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,1,548,0%,0%,0,0,0,0,2.8%,1534%,0%,0%,0%,6.123,Y,Y
