~, Faction, Name, Weight, Cost, Repair, Powered Exos, BR Class, Ballistic Res, Rupture Res, Burn Res, Electrical Res, Chemical Res, Radiation Res, Psychic Res, Impact Res, Explosive Res, Belt Slots, Maximum belt slots, Weight Carried, Movespeed
dolg_pantsir_outfit,Duty,PSZ-7p Shell Armor,22,78078,H,N,48,36%,29%,8%,6%,9%,4%,21%,8%,51%,2,3,42,104%
hybrid_outfit,Unknown,Hybrid Armored Suit,28,126910,H,N,46,35%,26%,35%,45%,16%,29%,11%,41%,26%,3,5,28,101%
freedom_exo_vineleaf_outfit,Freedom,Hero of Freedom,38,107536,H,N,64,45%,30%,21%,21%,21%,3%,25%,21%,36%,3,4,42,94%
light_loner_outfit,Free Stalkers,Interceptor Body Armor,18,134285,H,N,31,26%,55%,6%,36%,21%,19%,6%,49%,16%,3,5,24,107%
merc_combat_scientific_outfit,Mercenary,Mercenary Pathfinder,28,130095,H,N,51,40%,24%,35%,59%,16%,23%,11%,41%,31%,3,5,21,98%
light_isg_outfit,UNISG,UNISG IBAz Suit,24,93184,H,N,41,30%,46%,6%,36%,21%,16%,6%,25%,16%,2,4,18,104%
greh_trenchcoat_outfit,Sin,Sin Heavy Overcoat,21,101504,H,N,30,28%,20%,25%,26%,35%,24%,6%,26%,6%,5,5,24.799999237061,104%
dolg_heavy_proto_exo_outfit,Duty,PSZ-9d Exoskeleton,45,176580,E,Y,55,42%,30%,8%,3%,9%,4%,25%,8%,61%,3,5,96,109%
exo_dolg_outfit,Duty,PSZ-10d Duty Battlesuit,25,80520,H,N,51,38%,48%,47%,3%,16%,17%,21%,4%,36%,2,3,28,97%
military_sky_outfit,Clear Sky,CS-4b Armored Suit,28,72114,H,N,52,35%,20%,6%,7%,11%,5%,26%,11%,51%,2,3,42,101%
monolith_exolight_outfit,Monolith,Monolith Exosuit,35,78246,H,N,55,46%,34%,35%,3%,16%,9%,34%,6%,36%,2,3,45,92%
exo_dolg_wood_outfit,Duty,PSZ-10l Forest Battlesuit,28,115444,H,N,53,40%,48%,34%,3%,16%,9%,21%,13%,36%,3,4,50,95%
exo_dolg_red_outfit,Duty,PSZ-10d Venator Battlesuit,31,115995,H,N,50,35%,35%,52%,21%,25%,11%,29%,16%,31%,3,4,55,95%
freedom_nosorog_outfit,Freedom,Champion of Freedom,85,174585,E,Y,69,46%,28%,45%,3%,14%,11%,43%,6%,41%,3,5,115,103%
isg_proto_exo_outfit,UNISG,UNISG Tactical Exoskeleton,48,176841,H,Y,36,25%,23%,21%,13%,35%,16%,15%,9%,11%,4,7,86.400001525879,105%
bandit_exolight_outfit,Bandit,Looted Exosuit,24,87336,H,N,44,42%,34%,35%,3%,16%,10%,26%,6%,36%,2,3,65,96%
