~, Name, Weight, Cost, Repair, Single-handed, Accuracy, Handling, Damage, Fire Rate, Mag. Size, Max Range, Muzzle Velocity, Reliability, Recoil Control, Ammo, Alt. ammo, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_toz34_obrez,TOZ-34 (Sawn-off),2.1,9860,B,N,47%,55%,189,1200,2,250,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz106_m1,TOZ-106,2.5,6300,B,N,76%,65%,144,35,4,200,259,60%,25,"20x70 buckshot ","12x76 slug "; "12x76 AP slugs",,,,,,,
wpn_ksg23,KSG-23,3.1,98520,D,N,65%,63%,300,91,11,300,154,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_protecta_custom,Armsel Protecta,3.9,30650,B,N,58%,63%,189,168,12,250,319,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ithacam37,Ithaca M37 Riot,3.3,18340,B,N,59%,70%,198,88,4,300,329,60%,0,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_bm16_full,TOZ-66,3.4,15480,B,N,76%,57%,189,1000,2,250,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_protecta_camo,Armsel Protecta,4.2,33850,B,N,59%,63%,189,155,12,500,319,70%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_bm16,TOZ-66 (Sawn-off),1.92,9650,B,N,41%,67%,189,1000,2,250,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ithacam37_trench,Ithaca M37 Trenchgun,3.33,25200,B,N,52%,72%,198,124,5,320,349,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_mossberg590_rail,Mossberg 590A1,3.2,19960,B,N,69%,59%,198,90,9,1000,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_saiga12s,Saiga-12,3.81,31680,C,N,69%,77%,171,180,12,300,324,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ithacam37_mag,Ithaca M37 Defense,3.78,21660,B,N,59%,74%,198,88,7,320,349,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_saiga12s_isg,KS-12,3.2,88680,D,N,79%,76%,198,400,12,250,299,68%,30,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_mp153,MP-153,3.45,30580,C,N,66%,59%,198,200,6,250,369,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_decor,TOZ-34,3.2,18550,B,N,72%,55%,198,1100,2,250,369,62%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ","12x76 slug "; "12x76 AP slugs",,,24,,42,,
wpn_bm16_full_alt_23,TOZ-34 "Bear",3.4,29850,B,N,73%,57%,306,1000,2,200,154,42%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_wincheaster1300,TOZ-194,2.9,19580,B,N,62%,63%,198,94,7,250,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_vepr,Saiga-12,3.81,48680,C,N,69%,77%,198,250,6,250,324,68%,26,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_toz34,TOZ-34,3.2,14800,B,N,76%,55%,198,1000,2,250,369,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ","12x76 slug "; "12x76 AP slugs",,,24,,42,,
wpn_mp153_m1,MP-153 "Carabineer",3.5,40580,C,N,66%,59%,198,200,6,250,369,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_usas12,RAPTR,4.3,125660,D,N,63%,59%,198,225,20,300,324,68%,26,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_obrez_decor,TOZ-34 (Sawn-off),2.1,13880,B,N,50%,55%,189,1100,2,300,329,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_raptr,RAPTR,4.3,125660,D,N,63%,59%,198,225,20,300,324,68%,30,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_obrez_custom,TOZ-34 (Sawn-off),2.1,12690,B,N,48%,55%,189,1200,2,250,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_mark4_23,TOZ-34 "Chimera Hunter",3.9,98950,B,N,79%,55%,312,200,2,280,169,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75","12x76 slug "; "12x76 AP slugs",,,,,40,54,500
wpn_toz34_mark4,TOZ-34 "Bison",3.2,36860,B,N,75%,55%,198,800,2,250,389,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ","12x76 slug "; "12x76 AP slugs",,,24,,42,,
wpn_toz106,TOZ-106,2.5,5300,B,N,76%,65%,144,35,2,200,259,60%,25,"20x70 buckshot ","12x76 slug "; "12x76 AP slugs",,,,,,,
wpn_ithacam37_stakeout_20x70,Ithaca M37 Stakeout,2.6,13890,B,N,76%,52%,135,88,5,220,210,60%,0,"20x70 buckshot ",,,,,,,,
wpn_spas12_custom,SPAS-12,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_bull,TOZ-34 "Bull",3.9,98950,B,N,79%,55%,166,200,2,500,315,60%,25,"12x76 Bull ",,,,,,40,,
wpn_fort500,Fort-500,4.3,17700,B,N,64%,88%,198,86,6,250,329,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_benelli_m1014,M1014,4.13,63500,C,N,73%,59%,198,350,10,300,349,68%,27,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ks23,KS-23,3.85,32960,C,N,63%,53%,300,100,4,200,154,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_ks23_vorkuta,KS-23M "Vorkuta",3.9,32960,C,N,63%,53%,300,100,6,200,154,40%,0,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_ks23_ecolog,KS-23 Eco,4,32960,B,N,63%,53%,6,60,1,150,140,40%,25,"Ecolog-23 cartridge",,,12,,,,,
wpn_protecta_nimble,Armsel Protecta Custom,4.8,32680,B,N,57%,63%,189,191,12,500,319,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ithacam37_stakeout,Ithaca M37 Stakeout,2.6,13890,B,N,24%,52%,198,76,4,220,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
