~, Name, Weight, Cost, Repair, Single-handed, Accuracy, Handling, Damage, Fire Rate, Mag. Size, Max Range, Muzzle Velocity, Reliability, Recoil Control, Ammo, Alt. ammo, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_udp9,UDP-9 Carbine,2.2,19350,A,N,83%,84%,21,500,33,400,525,89%,90,"9x19  FMJ "; "9x19  HP "; "9x19  AP ",".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,17,,34,,,
wpn_ppsh41_rednew,PPSh-41,3.6,20580,A,N,64%,82%,21,880,71,500,630,91%,70,"7.62x25  LRNPC "; "7.62x25  Pst ",,,,25,,,,
wpn_vz61,Skorpion vz.68,1.44,15680,A,N,57%,84%,21,850,20,400,485,91%,90,"9x19  FMJ "; "9x19  HP "; "9x19  AP ",,,17,,34,,,
wpn_mp5,MP5A3,2.7,20000,A,N,62%,82%,21,800,30,400,527,90%,84,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_pp2000_operator,PP-2000 "Operator",1.78,19650,A,N,64%,85%,21,600,45,400,525,91%,0,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_ump45_custom,UMP45,2.48,33880,C,N,73%,84%,27,600,25,300,358,90%,63,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,,,20,,,,
wpn_p90_gs,FN P90,2.78,39880,C,Y,76%,84%,21,900,50,800,756,89%,71,"5.7x28 SS190 "; "5.7x28  SS195 ",,,,25,,40,,
wpn_vityaz,PP-19-01 Vityaz,2.9,20880,A,N,63%,82%,21,800,30,400,511,91%,78,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_ppsh41,PPSh-41,3.64,15840,A,N,56%,82%,21,880,71,500,630,91%,70,"7.62x25  LRNPC "; "7.62x25  Pst ",,,,25,,,,
wpn_mp9,Brugger & Thomet MP9,2.1,43300,A,N,70%,88%,21,1100,30,400,525,91%,68,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_vz61_alt,Skorpion vz.68,1.44,15680,A,N,57%,84%,21,850,20,400,485,91%,90,"9x19  FMJ "; "9x19  HP "; "9x19  AP ",,,17,,34,,,
wpn_ump45,UMP45,2.48,28980,C,N,73%,84%,27,600,25,300,358,90%,60,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,,,20,,,,
wpn_aug_freedom,Steyr AUG A3 9mm,3.35,36110,A,N,65%,86%,21,700,32,400,527,90%,81,"9x19  FMJ "; "9x19  HP "; "9x19  AP ",,,17,,34,,,
wpn_mp7,MP7,2.1,58500,C,Y,83%,88%,23,950,40,400,420,88%,65,"5.7x28 SS190 "; "5.7x28  SS195 ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,,25,,40,,
wpn_thompson_m1a1,Thompson M1A1,4.7,21880,A,N,60%,84%,27,650,30,300,433,90%,55,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,,,20,,,,
wpn_pp2000,PP-2000,1.66,19650,A,N,64%,85%,21,600,45,400,525,91%,94,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_thompson_1921,Thompson Model 1921,6.1,40590,A,N,60%,84%,27,900,50,300,433,90%,71,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,,,20,,,,
wpn_kiparis,OTs-02 Kiparis,1.6,16880,A,N,60%,84%,18,850,30,300,433,91%,99,"9x18  FMJ "; "9x18  HP "; "9x18  AP ","9x19  FMJ "; "9x19  HP "; "9x19  AP ",,15,27,,,,
wpn_sr2_veresk_sr2_upkit,SR-2M Veresk "Tactical",2.1,50300,C,Y,83%,88%,26,900,30,400,350,90%,83,"9x21  SP10",,,,,32,,,
wpn_sr2_veresk,SR-2M Veresk,1.65,50300,C,Y,83%,88%,26,900,30,400,350,90%,72,"9x21  SP10",,,,,32,,,
wpn_ppsh41_woodnew,PPSh-41,3.65,18180,A,N,61%,82%,21,900,71,500,630,91%,70,"7.62x25  LRNPC "; "7.62x25  Pst ",,,,25,,,,
wpn_sr2_m1,SR-2M Veresk,1.86,73300,C,Y,83%,88%,26,900,30,400,350,90%,83,"9x21  SP10",,,,,32,,,
wpn_p90,FN P90,2.78,39880,C,Y,76%,84%,23,900,50,800,756,89%,107,"5.7x28 SS190 "; "5.7x28  SS195 ",,,,25,,40,,
wpn_bizon,PP-19 Bizon,2.3,18560,A,N,48%,86%,18,650,64,300,420,89%,84,"9x18  FMJ "; "9x18  HP "; "9x18  AP ","7.62x25  LRNPC "; "7.62x25  Pst "; "9x19  FMJ "; "9x19  HP "; "9x19  AP ",,15,27,,,,
wpn_kriss_vector,KRISS Vector,2.78,122520,D,N,70%,84%,27,1100,30,300,420,90%,135,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ","9x19  FMJ "; "9x19  HP "; "9x19  AP ",,,20,,,,
wpn_mp5_nimble,MP5A3 "Frasier",2.7,20000,C,N,73%,82%,27,600,30,300,358,90%,58,".45 ACP FMJ "; ".45 ACP Hydra-shock HP ",,,,20,,,,
wpn_mp5sd,MP5SD6,2.7,20000,A,N,62%,82%,21,800,40,400,527,90%,113,"9x19  FMJ "; "9x19  HP "; "9x19  AP ","9x18  FMJ "; "9x18  HP "; "9x18  AP ",,17,,34,,,
wpn_p90gamma,FN P90,2.78,39880,C,Y,76%,84%,21,900,50,800,756,89%,107,"5.7x28 SS190 "; "5.7x28  SS195 ",,,,25,,40,,
