~, Name, Weight, Cost, Repair, Single-handed, Accuracy, Handling, Damage, Fire Rate, Mag. Size, Max Range, Muzzle Velocity, Reliability, Recoil Control, Ammo, Alt. ammo, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_dvl10_m1,DVL-10 M1 Saboteur,5.7,99580,D,N,95%,65%,606,40,10,600,420,60%,25,".338 Federal",,,,,,,,
wpn_steyr_scout,Steyr Scout 5.56,3.96,33000,C,N,93%,80%,70,35,8,1400,1512,60%,27,"5.56x45  FMJ "; "5.56x45  HP "; "5.56x45  AP ",,,13,29,,,52,
wpn_m24,M24 SWS,5.4,76680,D,N,96%,60%,96,35,10,1500,887,40%,25,".338 Lapua Magnum ",,,,,,,,140
wpn_remington700_mod_x_gen3,Remington 700 "MOD X Gen.3",3.7,33000,C,N,98%,64%,59,40,12,1200,887,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_l96a1,L96A1,7.2,65880,C,N,95%,65%,59,40,10,1200,887,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,34,,,62
wpn_wa2000,Walther WA 2000,7.65,90000,D,N,93%,69%,59,45,6,1200,882,78%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_sv98,SV98,6.2,58580,C,N,94%,65%,62,35,10,1200,902,60%,26,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_svt40_modern,SVT-40,3.8,26350,D,N,93%,65%,43,135,10,1000,871,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 "; "7.62x54  PP "; "7.62x39  FMJ "; "7.62x39  M43 ",,,,30,45,,80
wpn_sv98_custom,SV98,6.2,63680,C,N,95%,65%,62,35,10,1200,902,69%,26,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_steyr_scout_big,Steyr Scout 7.62,4.4,53296,C,N,97%,64%,59,35,5,1950,1575,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_winchester1873,Winchester Model 1873,4.3,27691,B,N,91%,66%,121,95,12,1100,630,60%,27,".357 HP ",,,,19,,,,
wpn_gauss_quest,"Item ¹62",12.768,85860,D,N,99%,50%,166,50,10,1000,10500,91%,425,"Batteries",,,,,,,,500
wpn_k98_mauser_kit,Karabiner 98k Forester mk.2,4.2,32590,B,N,97%,66%,76,40,7,1100,997,60%,0,"7.92x57  FMJ "; "7.92x57  AP ",,,,27,,39,,
wpn_k98_mod,Mauser 98k Forester mk.1,4.1,32590,B,N,95%,66%,69,40,7,1500,1312,60%,25,"7.92x57  FMJ "; "7.92x57  AP ",,,,27,,39,,
wpn_vssk,VSSK Vykhlop,7.5,95680,C,N,93%,65%,96,34,5,1000,420,60%,25,"12.7x55 STs-130 "; "12.7x55  STs-130 VPS ",,,,,38,,50,75
wpn_sks_modern,SKS,3.75,22960,B,N,88%,65%,45,245,10,900,617,89%,27,"7.62x39  FMJ "; "7.62x39  M43 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,30,,,55
wpn_svu_nimble,OTs-03A SVU-A,3.83,48580,D,N,92%,73%,45,200,10,1050,845,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_svds,SVDS,4.4,56164,D,N,93%,65%,62,400,10,1100,861,78%,26,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ","5.56x45  FMJ "; "5.56x45  HP "; "5.56x45  AP ",,,,30,45,,80
wpn_g43,Gewehr 43,4.33,23980,B,N,90%,65%,54,70,10,1000,777,60%,25,"7.92x57  FMJ "; "7.92x57  AP ",,,,27,,39,,
wpn_sks_tac,SKS Tactical,3.7,25580,B,N,86%,65%,45,600,20,900,617,87%,26,"7.62x39  FMJ "; "7.62x39  M43 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,30,,,55
